DNI,Apellidos,Nombre,Sexo,Salario,CP,Provincia
21988494B,Pelegrin Saborido,Mario,H,1484.23€,3,Alicante
94153453D,Sala Minaya,Luis Miguel,H,3097.74€,30,Murcia
53963718Z,Ibáñez Costas,María de la O,M,1410.26€,14,Córdoba
32889301Z,Fornieles Duarte,Ana,M,3477.1€,45,Toledo
61442154T,Córdoba Asensio,José Luis,H,2495.29€,20,Guipúzcoa
22546506C,Verdejo Ruiz,Sandra,M,1881.93€,30,Murcia
54576655R,Blanco Agudo,Pedro,H,3008.47€,28,Madrid
49211153P,Gamarra Guzmán,Nadin,M,1077.11€,15,La Coruña
25213180M,Alba Bañuelos,Tobías,H,1575.85€,28,Madrid
29579916F,Gallardo Luna,María del Valle,M,2551.12€,17,Barcelona
19897471X,Grau Pérez,Anya,M,2245.26€,28,Madrid
76527010F,Chica Gordo,Irene,M,2005.92€,28,Madrid
66675165M,Vila Ortiz,Ricardo,H,1265.27€,46,Valencia
62568150P,Rodríguez Pastor,Rubén,H,3551.02€,41,Sevilla
30898533B,Mico García,Gerardo,H,3204.81€,29,Málaga
24989486D,Expósito Palenzuela,Rosana,M,3072.16€,26,La Rioja
48988345R,Mestre Pérez,Pedro,H,1751.29€,48,Vizcaya
23818660K,Salguero Sánchez,Gregorio,H,2751.49€,35,Las Palmas
74913723D,Gutiérrez Rodríguez,Jorge Lorenzo,H,1598.23€,12,Castellón
23820702Q,Caballero Fernández,Susana,M,762.99€,29,Málaga
40502993Q,Santamaría Latorre,Diego,H,1128.82€,31,Navarra
85729238G,Andújar Palacios,Rosalía,M,1713.59€,24,León
63229113C,Amado Viñuela,Mar,M,616.63€,3,Alicante
11086785A,Álvarez Moreno,Guillermo,H,1422.77€,26,La Rioja
61656363X,Sánchez Otero,Manuel,H,3289.96€,8,Barcelona
35167482E,Lázaro Pérez,Joaquín,H,1873.0€,41,Sevilla
54309945E,Claros España,Olegario,H,1871.82€,29,Málaga
28979724T,Torres Azcarate,Leonardo,H,1876.03€,4,Almería
9544215C,Flores Vilar,Carlos Alberto,H,1033.49€,41,Sevilla
84470598Q,Zamora Fraga,Alfonso,H,2709.28€,28,Madrid
86432855M,Romero Mayo,Jaime,H,2149.21€,8,Barcelona
76642165R,Hernández León,Álex,H,1220.24€,46,Valencia
6367467D,Delgado González,Andrés,H,762.74€,28,Madrid
36892101D,Mejías Santos,Ángel,H,1977.47€,22,León
35699273F,Molina Barreiro,Mafalda,M,3368.51€,4,Almería
27746357P,Jerez Villena,Dafne,M,2786.2€,20,Guipúzcoa
47349118F,Ayuso Peris,Rosana,M,1451.79€,3,Alicante
79185213P,Otero de Las Heras,Loreto,M,3366.66€,43,Tarragona
86987979R,Gimeno Viñas,Heidi,M,2849.91€,46,Valencia
59589415A,Viejo Hernández,Yedra,M,3317.51€,41,Sevilla
62485974B,Gutiérrez Maldonado,Miguel,H,1403.27€,41,Sevilla
93251077S,González Fernández,Valle,M,3519.2€,8,Barcelona
36361872E,Cruz Goñi,Cecilia,M,2716.74€,28,Madrid
64392723Z,Hernández Pazos,Yolanda,M,3255.71€,23,Jaén
54644440M,Vallejo Pérez,María Victoria,M,2694.4€,2,Albacete
32393159M,Vilar Padilla,Jesús Adolfo,H,2195.25€,7,Baleares
33775927J,Diego Solís,Aida,M,3030.52€,6,Badajoz
21794135W,Jiménez Claveria,Rubén,H,2633.79€,11,Cádiz
34028981K,Martínez Moreno,Juan Antonio,H,2113.98€,8,Barcelona
95707495X,Sánchez Guerrero,Alejandro,H,1498.72€,12,Castellón
24640492V,Castro Gil,Nicolás,H,2049.82€,8,Barcelona
4197412G,Hernández Gutiérrez,Olga,M,2478.24€,16,Cuenca
35946509Q,Gil Cuenca,Rosa María,M,2828.71€,43,Tarragona
56501747Q,Peña Pérez,Laura,M,2494.14€,38,Santa Cruz de Tenerife
57875969B,Rodríguez Macías,Inocencio,H,2831.92€,15,La Coruña
63694081C,Segura Doval,Juan,H,1798.49€,12,Castellón
85059430W,Montero Santos,Zoraida,M,2985.71€,8,Barcelona
57374277H,García Vera,Begoña,M,2238.11€,11,Cádiz
96552071A,Patiño García,Almudena,M,2254.24€,8,Barcelona
10698739J,Cabezas Aguayo,Cleopatra,M,3202.67€,28,Madrid
54964657Q,Robaina Pérez,Mario,H,956.74€,3,Alicante
75697747D,Fernández Mier,Fidel,H,1224.59€,28,Madrid
95036792X,González Ortega,Clara,M,3422.54€,43,Tarragona
40239542F,Rojas Cantalapiedra,Blanca María,M,1919.62€,14,Córdoba
66955357B,García Sánchez,Rebeca,M,1959.87€,2,Albacete
88740038N,García Gallego,Sofía,M,2500.35€,7,Baleares
93787300Q,García Verdú,Horacio,H,2353.55€,2,Albacete
92021465Y,Esteve López,Diego,H,1529.9€,50,Zaragoza
76216815J,Martín Sánchez,Aristófanes,H,3356.26€,18,Granada
27518565P,Hurtado Barrios,Norberta,M,3244.43€,38,Santa Cruz de Tenerife
29496991C,Martínez Canals,Olga,M,2771.84€,8,Barcelona
44930638T,Alonso Muñoz,Carlos,H,2011.73€,8,Barcelona
7477267J,Ramos Romero,Juan Pablo,H,3011.95€,19,Guadalajara
2722312D,Alberola Cardiel,Ramón,H,2425.66€,7,Baleares
64269981T,Díez Martín,Eloy,H,844.39€,30,Murcia
45573899C,Arcos Toledo,Erlinda,M,1793.3€,11,Cádiz
25279114K,Garrido Corpas,Elena,M,739.0€,8,Barcelona
14649254W,Álvarez Martínez,Mariam,M,2251.89€,17,Gerona
2826285E,Cabrera Molina,Naira,M,1690.46€,37,Lugo
53748435B,Sánchez Cortés,Gema,M,3368.72€,18,Granada
56555461W,Rodríguez Trujillo,José Luis,H,1985.46€,48,Vizcaya
22095052X,Delgado Moro,María Victoria,M,1507.27€,28,Madrid
91448088L,Jerez Iborra,Severiano,H,1551.01€,3,Alicante
55412225G,Ávila Reyes,Federico,H,682.55€,38,Santa Cruz de Tenerife
25091421P,Galindo Aroca,Marta,M,2629.97€,46,Valencia
42492228G,Barroso Leal,Francisco,H,2536.46€,38,Santa Cruz de Tenerife
76459376Q,Rodríguez González,Isabela,M,3578.21€,35,Las Palmas
45776708S,García González,Pedro,H,916.45€,28,Madrid
8719227L,Ros Sancho,Carmela,M,1955.06€,50,Zaragoza
87337283G,Carrión Iglesias,Máximo,H,2579.24€,36,Pontevedra
43488397C,López Cortés,Patrocinio,H,3314.68€,8,Barcelona
21568944G,Trujillo García,Juan Pablo,H,2521.41€,16,Cuenca
90740633K,García Martínez,Celia,M,2621.62€,3,Alicante
3056550B,Marín García,Antonio,H,3384.49€,2,Albacete
61594310B,Martínez Izquierdo,Miriam,M,1071.45€,41,Sevilla
42311277V,Roca Luque,Constantino,H,1330.53€,11,Cádiz
47089727X,Luque Alba,Tatiana,M,2747.81€,38,Santa Cruz de Tenerife
87949756X,Granados Aguilar,Teófilo,H,1539.29€,30,Murcia
18546533T,Mosquera Mata,Zaida,M,1584.38€,28,Madrid
25642303V,Lillo García,Amanda,M,2359.27€,11,Cádiz
90143656D,Labrador Lázaro,David,H,1006.93€,19,Guadalajara
90713687P,Carral de Blas,Nicolás,H,737.21€,15,La Coruña
55127206R,Gil Vázquez,Yolanda,M,3531.29€,3,Alicante
31253748Z,Estrada Andreu,Sandra,M,3454.3€,8,Barcelona
78858506Q,Rodríguez Hernández,Patricia,M,3001.51€,21,Huelva
65286500B,Guillamón Calle,Pedro,H,1278.87€,46,Valencia
87284358W,de la Torre García,Álvaro,H,725.23€,10,Cáceres
61943581G,Sánchez Holgado,Raúl,H,3286.78€,28,Madrid
3051883J,Escamilla Romero,Olegario,H,2045.2€,18,Granada
60366587M,Pérez González,Ignacio Salvador,H,1448.7€,26,La Rioja
45295248Z,Hernández Dios,Patrocinio,H,1063.84€,28,Madrid
68586567S,Esteban Signes,Federico,H,3302.13€,29,Málaga
57173451M,Espinosa Rodríguez,Caterina,M,2888.94€,7,Baleares
59948157Z,García Ordóñez,Jaime,H,2043.5€,7,Baleares
58806530S,Sánchez Leston,César,H,611.07€,30,Murcia
88499121C,Parra Pérez,José,H,3135.8€,46,Valencia
35799117P,Bello Pulido,Juan Carlos,H,2864.56€,8,Barcelona
63578964H,Oliva Lladó,Macarena,M,1241.62€,30,Murcia
75699791Y,del Valle Portillo,Daniel,H,1514.13€,37,Salamanca
73726243L,Alba López,Florencio,H,2683.43€,45,Toledo
9354108P,Quijano Serra,María del Pilar,M,2387.04€,8,Barcelona
1783933F,Jerez Martínez,Blas,H,2195.8€,7,Baleares
21188137P,González Ortega,Amor,M,2817.49€,34,Palencia
77203960K,Sánchez Díez,Javier,H,3473.54€,1,Álava
74214751F,Benito Estévez,Alexis,H,754.94€,46,Valencia
23211656X,Rodríguez del Río,Nemesia,M,1208.31€,8,Barcelona
81381482F,García Rubio,Adela,M,1624.93€,41,Sevilla
60551610Q,González Crespo,Violeta,M,1232.18€,22,Huesca
16358217L,Pérez Ruiz,Mafalda,M,2719.78€,28,Madrid
65549084G,González Juárez,Luis Alberto,H,2103.99€,3,Alicante
32765260N,García González,Melodie,M,1481.86€,17,Gerona
67423955F,Egea Llamas,Amanda,M,1551.42€,43,Tarragona
82124121E,Rivera Jiménez,Daniel,H,1355.61€,3,Alicante
32112953P,Gómez de Andrés,Inés,M,3454.77€,8,Barcelona
35619256F,Blanco Molina,Lucas,H,3302.06€,15,La Coruña
70904031E,García Hernández,Raúl,H,3377.42€,48,Vizcaya
13421331A,Bolaños Camacho,Brenda,M,1353.77€,28,Madrid
40264800B,Sáez Collazos,Ramón,H,1628.45€,29,Málaga
65360367W,García Alaminos,Édgar,H,2646.64€,10,Cáceres
52343272X,Pallarés Valls,Javier,H,1618.44€,3,Alicante
77857878A,Ferrer Sánchez,Paulo,H,1991.05€,29,Guadalajara
86409736R,Nieto Rodríguez,Isidro,H,2235.49€,29,Málaga
71125064W,Benítez Hernández,Estíbaliz,M,677.35€,29,Málaga
2356387Z,Ivanova García,Esteban,H,3539.75€,14,Córdoba
6791432S,Lama Ordóñez,Sofía,M,1675.37€,33,Asturias
85327332T,Valverde Ruiz,Jorge,H,3429.0€,38,Santa Cruz de Tenerife
25614375B,Gimeno Batlle,Amanda,M,2652.51€,25,Lérida
52354097W,Fernández Arcos,María Luisa,M,1759.56€,31,Navarra
46192287F,Díaz Gallego,Mateo,H,3159.1€,30,Murcia
88946347B,Freire Carrera,Rufina,M,2676.42€,30,Murcia
64306263B,Romero Fernández,Carmen,M,2410.93€,46,Valencia
47047742T,Sánchez Extremera,Amancio,H,3588.97€,28,Madrid
26480367F,Ramírez García,Jesús Alberto,H,2228.36€,21,Huelva
71413286B,García Treviño,Inmaculada,M,2065.64€,28,Madrid
5597293J,Miró Santacruz,Javier,H,897.54€,12,Castellón
54785478F,Ortiz Mier,Alberto,H,3168.92€,41,Sevilla
68142285R,Francés Aranda,Daniel,H,2925.31€,28,Madrid
83418002S,González González,Andrés,H,934.02€,3,Alicante
96267479J,Alcalde Rodrigo,María Teresa,M,1424.04€,13,Ciudad Real
83380569A,Garrido Polo,Cecilia,M,3348.05€,29,Málaga
59954012G,Gómez Ribeiro,Cristobal,H,3140.97€,11,Cádiz
29227926D,Ordóñez Núñez,Miguel,H,2615.29€,46,Valencia
38869303Q,Calvente Martínez,Imelda,M,3029.03€,14,Córdoba
24268137D,Gómez Cabeza,Almudena,M,2518.33€,28,Madrid
76029230Q,Navarro Barriga,Blas,H,1727.42€,8,Barcelona
4745700H,Martínez Fernández,Victor,H,1387.92€,3,Alicante
29223856X,Arregui García,Paula,M,3003.87€,28,Madrid
87377374Y,Gallardo Fernández,Esteban,H,1678.57€,21,Huelva
36683044E,Hernández Hernández,Marisol,M,2121.22€,47,Valladolid
54143362M,Rodríguez Ortiz,Gabino,H,2277.24€,44,Teruel
63164142R,Muñoz Ortiz,Gloria,M,1384.23€,14,Córdoba
13032154D,Mariño Fuentes,Enrique,H,831.04€,34,Palencia
66245144S,García Moro,Inmaculada,M,843.75€,18,Granada
56239428N,Carrero Martín,Alberto,H,3214.83€,35,Las Palmas
61997563M,Sánchez Espada,Eugenio,H,971.82€,8,Barcelona
55493645G,Berzal González,Ana María,M,1432.86€,16,Badajoz
58476162L,Romero Siles,José Luis,H,1149.44€,46,Valencia
39773528L,Canales Ortín,Samuel,H,1189.98€,22,Huesca
15866695F,Piqueras Marcos,Miguel,H,1246.49€,46,Valencia
25434380Z,Gil Contreras,Roberto Juan,H,3020.9€,23,Jaén
27135398K,Afonso Gómez,María José,M,2529.58€,8,Barcelona
49096595J,Vázquez Rey,Ignacio,H,3441.45€,38,Santa Cruz de Tenerife
53269421H,Fernández Gómez,Pablo,H,2356.59€,35,Las Palmas
55683970G,Orozco González,Ignacio,H,3307.87€,30,Murcia
95517679J,Pereira Aranda,Lara,M,746.91€,47,Valladolid
38532764J,Lorenzo Santos,José Antonio,H,1432.06€,24,León
13456623J,Carvajal Gómez,Patrocinio,H,3233.12€,29,Málaga
16012474N,Montes Martín,Juan Marcos,H,1007.28€,13,Ciudad Real
64421660V,Santamaría Molinos,Natalia,M,2575.34€,33,Asturias
64782531H,Gutiérrez Benítez,Rafael,H,1323.93€,3,Alicante
26257529Q,Ventura Duarte,Soledad,M,763.52€,46,Valencia
48518183M,Dura Escriva,Laura,M,1385.98€,28,Madrid
93031312S,Martín Montalvo,María de la Merced,M,1449.55€,17,Gerona
72224957N,Portillo López,Ramona,M,1929.61€,3,Alicante
91089972J,Donaire Lapuente,Guillermo,H,2881.49€,28,Madrid
25362394H,Muñoz Díaz,Alfonso,H,3065.64€,8,Barcelona
31587016N,Toribio Aguilera,José,H,2790.45€,46,Valencia
25839952G,León Martín,Alfonso,H,1651.62€,15,La Coruña
93494782N,Feito Pelayo,Javier,H,3381.44€,8,Barcelona
45144462Q,Muñoz Fernández,Roberto,H,2898.01€,8,Barcelona
58492073Z,Hoyos Garrido,Juan Miguel,H,2865.51€,14,Córdoba
40710052Y,Salinas Franco,Carlos,H,743.19€,25,Lérida
3490554M,Gómez Morales,Carmen,M,3249.67€,8,Barcelona
83136302L,García Megías,Luis Miguel,H,1824.12€,8,Barcelona
97645098R,Grau Cámara,Soledad,M,2666.88€,8,Barcelona
85674247Y,Alonso Aliaga,Roberto Juan,H,3322.68€,28,Madrid
65377121N,Miguel Pérez,Javier,H,1318.78€,34,Palencia
93896205Q,Ternero López,Ramón,H,2493.37€,21,Huelva
24308150W,Gallego Domingo,Maximiano,H,3445.54€,28,Madrid
1694835B,de la Torre Martínez,Soraya,M,1956.66€,18,Granada
13323036X,Sánchez Frías,Fidel,H,1098.13€,8,Barcelona
32457654P,de Benito Redondo,Santiago,H,2066.2€,35,Las Palmas
9715162P,Díaz Díaz,Wenceslao,H,2226.16€,28,Madrid
72861466L,Núñez Pons,Alberto,H,2289.35€,29,Málaga
31154424G,Cuevas Martín,Eva,M,1709.88€,41,Sevilla
12339596G,Canal Escribano,Daniel,H,1052.73€,28,Madrid
5894602R,Lázaro García,Clara,M,1845.21€,28,Madrid
19694851C,Tejedor Teixidor,Alba,M,1140.63€,24,León
18219605V,Ferreira Cardona,Melodie,M,968.75€,33,Asturias
55050431T,López Varela,Jorge,H,2249.55€,7,Baleares
32824908K,Martínez Murillo,Patricia,M,803.89€,31,Navarra
50525906N,Díaz Moreno,Valerio,H,2720.34€,29,Málaga
26035894D,Luque González,Emilia,M,783.36€,29,Málaga
6558703T,Gamero Gómez,Violeta,M,828.21€,41,Sevilla
60800B,Martínez Fernández,Ana Cecilia,M,1507.65€,28,Madrid
7214360L,Aguado Martín,Rocío,M,2113.33€,38,Santa Cruz de Tenerife
92632050X,Mesa Sánchez,Eurico,H,1227.7€,28,Madrid
1379346J,Castro García,Ángel,H,1401.38€,28,Madrid
74362982A,Barquilla Ferrer,Francisco,H,1275.57€,8,Barcelona
76334139Z,Bermúdez Bonnin,Minerva,M,978.18€,14,Córdoba
23081828V,Martín Torres,Violeta,M,2833.63€,9,Burgos
44475012G,Piñeiro de la Torre,Alfonsa,M,2446.33€,14,Córdoba
93633455H,Sánchez Gómez,Romualdo,H,2845.9€,28,Madrid
6191162E,Lago Romero,María Gracia,M,1471.28€,8,Barcelona
45681179M,Espinosa Ortiz,Cristobal,H,1888.54€,2,Albacete
55097914B,Rodríguez García,Vivian de los Ángeles,M,1800.31€,25,Lérida
25603006G,López Gómez,Primitivo,H,2977.65€,31,Navarra
73652365V,Hernández Aguilo,Mario,H,759.06€,28,Madrid
13553627A,Giménez Muñoz,Ana,M,1787.1€,33,Asturias
74998260K,Blasco Rojas,Coral,M,3058.82€,33,Asturias
77237117N,Martínez Contreras,Roberto,H,1153.77€,19,Burgos
82753203P,Pascual Blasco,Carolina,M,1112.71€,46,Valencia
21175403Q,López Montes,Milagros,M,781.85€,18,Granada
86101268D,Meneses Hernández,Elena,M,2604.89€,28,Madrid
77721003R,Guijarro Fernández,Faustiniano,H,3327.83€,35,Las Palmas
49413985A,Artero Sánchez,Brenda,M,1492.88€,11,Cádiz
64393945V,Miranda García,Germán,H,1804.46€,48,Vizcaya
9805435Y,Pascual Núñez,José Germán,H,1676.5€,8,Barcelona
84154009E,Marco Vaquero,Nicolás,H,3123.91€,12,Castellón
33333829K,de la Rosa López,Vicente,H,1726.22€,33,Asturias
90970407W,Navarro García,María José,M,2388.04€,3,Alicante
71480561B,González García,Luis Alberto,H,1339.1€,3,Alicante
94728143K,Betancourt Martín,Felipe,H,1898.31€,14,Córdoba
19244237E,García Lorenzo,Aurelio,H,1851.16€,28,Madrid
66508839S,Sánchez García,Ramón,H,1110.45€,41,Sevilla
9544821M,Sánchez Morales,Rosa Inés,M,3471.36€,8,Barcelona
99185107E,Hernández Castro,Carola,M,602.29€,12,Castellón
25192536S,Remón Reyes,Jerónimo,H,2967.27€,27,Lugo
17841749M,Araujo Sánchez,Eva María,M,1399.41€,15,La Coruña
88675882A,Castillo Goitia,Griselda,M,2894.84€,31,Navarra
50740594H,Sales López,Asunción,M,1446.09€,45,Toledo
25388809Y,Jiménez Abril,Nieves,M,960.41€,28,Madrid
12523785D,Quintana García,David,H,1992.48€,13,Ciudad Real
41261988B,López González,Amalia,M,3581.97€,11,Cádiz
7434289E,López Vega,Alfonso,H,2957.78€,36,Pontevedra
19388133F,Pérez Belmonte,Aitana,M,795.43€,46,Valencia
89042270R,Estupiñan Fernández,Arminda,M,2828.19€,4,Almería
10124523S,Martínez Sánchez,Ana,M,3461.56€,15,La Coruña
64008445C,Delgado Quesada,Santiago,H,1154.1€,28,Madrid
57993259R,González Jiménez,Plácido,H,1668.73€,14,Córdoba
67685457E,García del Río,Felipe,H,2659.58€,11,Cádiz
98844555P,Marquinez Rojas,Crispín,H,707.44€,39,Cantabria
77937473H,Ruiz Morón,Débora,M,2195.86€,43,Tarragona
49251165T,Chico Olivares,Borja,H,3194.69€,51,Ceuta
46716212S,Hernández Solans,Amaya,M,3226.77€,3,Alicante
53701466P,Casado Zamorano,Aida,M,1543.27€,28,Madrid
85125531R,López Tena,Almudena,M,2087.17€,18,Granada
15280155J,Vives Agustí,José María,H,2963.19€,31,Navarra
22581131F,Camarero Murillo,Estrella,M,2403.04€,33,Asturias
3282649C,Segovia de Juan,Eloy,H,1525.02€,50,Zaragoza
2058592T,Balboa de la Concepcion,Cristobal,H,695.23€,46,Valencia
52402486E,Liñares Vela,Isaul,H,2249.79€,30,Murcia
66341860Q,Bastos Escolar,Secundina,M,2336.56€,41,Sevilla
68249021V,Alegría Mínguez,Victor,H,1973.07€,28,Madrid
21842029X,Seijo Casado,Pablo José,H,616.63€,22,Huesca
63170790W,Fernández Barco,Zulema,M,2385.64€,39,Cantabria
41347590F,Hernández Ruiz,Loreto,M,1250.14€,46,Valencia
24541884X,Ramos Urquijo,Eleonora,M,1716.53€,18,Granada
31574289G,Villar Marcos,Julieta,M,1196.42€,27,Lugo
79364824N,Martínez Hernández,Katherine,M,3301.05€,41,Sevilla
59374682K,Rodrigues Navarro,Gonzalo,H,1231.93€,42,Soria
58492403E,Armijos Montilla,Manuel,H,3585.3€,28,Madrid
7901719T,León Gil,Renato,H,3317.52€,34,Palencia
79898351P,Chamorro Gómez,Borja,H,3044.78€,15,La Coruña
44041398D,Molina Marqués,Noelia,M,3052.34€,12,Castellón
91845808T,Martín Cebrián,Virginio,H,2138.8€,46,Valencia
86369211W,García Ferrer,José Alberto,H,3421.1€,19,Guadalajara
26814280Y,Molina Sánchez,Ramiro,H,2650.42€,48,Vizcaya
1262733X,Teruel Caballero,Álvaro,H,775.62€,19,Guadalajara
78638205D,Rodríguez Morcillo,Mercedes,M,955.49€,21,Huelva
48325781K,Muñoz Ubeda,Mariángeles,M,1592.31€,46,Valencia
96159420P,Maldonado Algarra,Renato,H,2571.84€,11,Cádiz
86842438G,Galván Ruiz,Carolina,M,1699.53€,28,Madrid
84164601B,Molina Guevara,Romeo,H,2423.21€,28,Madrid
26663785T,Moreno García,Eva,M,1451.19€,6,Badajoz
68518550D,Redondo Monje,Lorenzo,H,1041.38€,34,Palencia
11006268D,Martínez Escolar,Loreto,M,2952.02€,48,Santa Cruz de Tenerife
48952597H,Bennasar Pérez,Celia,M,1368.3€,8,Barcelona
98564999V,Gómez González,César,H,1025.06€,28,Madrid
66350685D,Ferrán Suñe,Esther,M,2117.86€,12,Castellón
28762577L,García Ferreres,Irene,M,2901.43€,36,Pontevedra
17706975B,López Bañuls,María del Mar,M,2039.55€,8,Barcelona
9696305B,García Fuentes,Alexis,H,746.48€,28,Madrid
82008833X,Ruiz Luján,Esteban,H,2885.4€,12,Castellón
33433425G,Muñoz Guerrero,Horacio,H,3394.67€,31,Navarra
74616125P,Guerrero Lorite,Guadalupe,M,1923.62€,7,Baleares
59942244N,Quesada Gutiérrez,Nemesia,M,3219.81€,14,Córdoba
31437716M,Cabrera Iniesta,Sebastián,H,2240.01€,11,Cádiz
98531319D,Vives Muñoz,Jesús Adolfo,H,2727.85€,28,Madrid
72212126S,Noval Segura,Eusebio,H,609.32€,35,Las Palmas
75781284X,Pérez Moreno,Lucas,H,2429.85€,31,Navarra
94032221X,Delgado Tena,Antón,H,2957.52€,43,Tarragona
363840A,Cuevas Carrasco,David,H,3174.54€,11,Cádiz
71152015C,Duarte Rodríguez,Zoe,M,1440.83€,8,Barcelona
98807115N,Rodríguez Santos,Santiago,H,627.29€,28,Madrid
59002715X,Rueda Jiménez,Aránzazu,M,1274.58€,24,León
